,topics,reflection
9410,"[4, 9]", service was  as usual  great  however i gave 2 choices of fitting venues  st andrews for some reason was unable to accept me so i was given ats dundee     arrived around 1 4t for 2pm appointment  returned approx 2 30  car on ramp but wheels still on  3 05 fitter standing at side of car  blind side for me  he never moved for just over 3 minutes  when i pointed this out to management  he said the fitter ead doing the paperwork  oh  by the way  i was an engineering work process auditor and h & s advisor for many years     anyway not happy with this and have notified   will still continue to use bcs and my local fitters  they are good at customer service 
9411,[4],very good service  fitter also pointed out that i required a new spring 
9412,[1],great price very fast service will use again 
9413,[9],i went through  to get 2 new front tyres  i thought it was hassle free and any easy way to book to get my tyres done  however  2 days before i was due to go to my chosen garage i received a phone call from  to say that my chosen garage couldn’t now fit me in  they had to ring around 2 other local garages before they could find me another garage that would fit me in 2 days later than my original appointment  although this may not have been  fault this was very stressful for me as my car had already failed the mot hence why i booked my car in asap  the lady i spoke to on the phone who rang round other garages was very helpful but it was a very stressful situation to be in  i don’t think i will use this service again  i will just go through the garage themselves 
9414,[0],simply excellent as always 
9415,[6],excellent pricing with first class products and easily accessible fitting at top workshop 
9416,[1],great price and great service  garage was lovely with great coffee
9417,"[0, 2]",easy to arrange  wide choice and good value
9418,[2],easy to use with local fitting 
9419,[2],such an easy service to use you can choose from a range of tyres from budget to top brands cheaply  then your booked to your local tyre fitters & you pre pay on the  website  will defenately use again  very happy 
9420,"[1, 6]",great user friendly and competitively priced service
9421,[0],once again the service and value were great 
9422,[10],simple to organise    reasonably priced 
9423,[8],fantastic price for our new tyres  hassle free from start to finish  great experience and would highly recommend to anyone wanting new tyres to make  com the first port of call 
9424,"[3, 11]",prices good & the fitting went very smoothly with castle car care 
9425,"[6, 7, 8]",the process ran smoothly from booking on line to dropping off and picking up as arranged  |friendly staff at the local ats carrying out the replacement added to the experience  second time i have used them and will go back 
9426,[7],whole process was easy from start to finish  friendly mobile fitter arrived as planned and did a good  quick job 
9427,"[0, 7]",good value tyres  delivered and fitted on time  a few fitting marks on my alloys😞
9428,"[2, 3]",a great selection of tyres with good prices and fitting options  i was very happy with the mobile fitting service that came to me home 
9429,[0],an easy and quick transaction
9430,"[4, 9]",took two goes to physically order the correct set for my car - but they did resolve after a long hold on the phone  still an expensive purchase - but these guys were competitive  ats fitters was another story - couldn't print an invoice in under 1 hour - so had to leave and chase for it later
9431,[1],no problems  great service
9432,"[2, 11]",easy to find the tyres i wanted and a local installation  could not be simpler 
9433,"[0, 11]",this is a really convenient and cost effective way to buy new tyres  the website is clear  easy and secure  simply enter the details of your ehcile  select the tyres and the garage you would like to use  pay  and that's it  easy and reliable  have used  several times and never been let down 
9434,[6],very good would use again
9435,"[5, 11]",best prices for tyres with various places to choose from at a time which suits the buyer to get the tyres fitted 
9436,[4],all pretty normal really   said it would be done in 15 mins ) very polite to the customers  but not too sure about being respectful to each other in front of the customers however the job was done and i will use them again due to the convenience of the location 
9437,"[2, 5]",easy and simple website  quick and clear response via sms and always a simple process when dealing with tyre fitters
9438,[4],the garage put a new tyre on the wheel but didn't put the wheel on the car so had to do this myself  i've never had to do that before and would expect betteri contacted  who offered a partial refund in compensation and are investigating the issue  i'm glad they were able to help solve this  and won't downgrade them for the fault of the garage
9439,"[0, 11]",simple  easy  savibg time  effort and money  £44 to be exact 
9440,[8],excellent – no reservations  i would recommend this company to anyone 
9441,"[4, 11]",great price  much cheaper than main dealer or kwikfit  took longer than they said they would  and it was raining with little cover 
9442,"[2, 5]",top of the range tyre from top of the range website 
9443,"[5, 8]",faultless service  i have used  for a number of years and cannot fault them for quality or price or service  highly recommended
9444,"[0, 3]",good value tyres  great garage / fitters
9445,"[8, 10]",great service and good prices i have fitted michelin pilot sport 4 to my car  they are a great improvement over the bridgestones that were originally on the car 
9446,"[5, 7]",easy to order from the website  tyres fitted at my chosen fitter with no problem  i have used  before and always found their prices competitive and the fitting has always been straightforward
9447,"[1, 8]",great service  staff are polite and helpful  great prices
9448,[2],very easy to do and book your car in
9449,[4],this company is totally dogdoo  apparently i can’t use more accurate words to describe the service they provided me and accuracy of my order  because  don’t like it  i wish bc would have taken as much interest in my order and getting it right  as they have done with the trustpilot reviews their many unhappy customers leave 
9450,[11],the easy way to purchase tyres
9451,"[4, 9]",disappointed that on collection to be told that tracking is out and to re-book to have it corrected  go elsewhere to have it fixed and not waste my time again 
9452,[4],couldn't fault them - fine on all counts
9453,[11],convenient and cheaper than what the tyre shop could offer 
9454,[1],great service no issues at all
9455,"[4, 8]",taken on time  prompt friendly service  waiting room with coffee and tea facilities of requirs
9456,[7],fuss-free buying and fitting of tyres  will definitely use again  as prices are favourable  in addition to the convenience of online ordering and booking 
9457,[6],excellent  used the one at the big tesco in handforth  the lad working that sat  morning couldn't have been more helpful  i would certainly use them again 
9458,[9],arrived at the fitting centre at the confirmed time slot only to find that tyres hadn’t been delivered received refund 
9459,"[4, 8]",they knew the manufacturer recommended levels for torque and tyre pressure when completing the work at the  pitstop in grays  very professional service 
9460,[2],easy to select  easy to book convenient appointment 
9461,"[5, 7, 9]",easily booked  no waiting on the day  good  clean job done  straightforward process at the best price 
9462,[9],good service getting the tyres fitted but disappointed the first garage i booked in at couldn't fit because too busy so therefore had to take elsewhere 
9463,"[1, 10]",good prices quick reliable service
9464,[9],excellent except the garage said i had been double-booked by  and kept me waiting 40 minutes  i suspect that this was not the case and they were trying to fit in extra jobs next time i will double check my appointment with the garage
9465,[11],very easy to buy the correct tyres and get them fitted at a local garage  very pleased and would use again 
9466,[4],quick tyre replacement  both front tyres off changed and replaced with a free break check within the hour and they’re budget tyres are well worth choosing over a named brand 
9467,"[8, 9]",remi from ackland tyres was great  he rang to confirm arrival time and was pleasant and professional 
9468,[8],good professional service 
9469,[9],turned up on the wrong day  but they still managed to fit me in  very impressed
9470,[8],very helpful and pleasant staff delivery on time would recommend to anyone prices very good too  
9471,[11],managed to catch a flash sale  so got 10% off an already competitive price for a pair of michelin tyres able to pick a convenient time and location for fitting  no hassles at all  highly recommended 
9472,"[2, 10]",very good service  easy to use website and confirmation from the agent once the appointment made  good options to select from a number of local agents  good service from the agent also  would recommend  have used  twice now 
9473,[6],every time i use them it just works     
9474,"[1, 4]",fast friendly service had pm appointment arrived 11 45 2front tyres changed back on road 12 15 excellent service at great price
9475,[2],very easy to use website  good quality tyres  fitting was hassle free and tyres fitted within an hour  will use this method next time i need new car tyres and would recommend this website to anyone 
9476,"[4, 9]",took too long to change a tyre had a one hour slot arrived 5 minutes before appointment had to wait 90 mins to change the tyre
9477,"[3, 11]",found what i wanted  good price and fitted locally to me 
9478,[7],ordered  garage fitted and i drove off  job done 
9479,"[2, 4]",easy to book  i needed to change the time and it was done well as well  it is good to be able to do locally and price also is much better  any free extras are not been taken care by the local fitter 
9480,"[8, 10]",hi the service very good and helpful thanks for your help today
9481,"[6, 9]",used  for the first time arrived at the appointed fitters and all done in 15-20 minutes  most impressed and will most certainly use them again  10 out of 10 
9482,[1],great service alround
9483,"[7, 11]",easy and straight forward purchase massive savings of £136 against my local garage for four tyresgreat communication
9484,[9],paid for a tyre with a certain quality as per the eu labeling  what was actually fitted was far poorer  customer service tried to state that eu labeling differs per manufacturer  upon stating back to them this is not the case i've failed to get any response from   will not be using again & would not recommended their own selection of tires 
9485,[3],very competitive price   excellent service
9486,"[4, 9, 11]",after having bmw quote me almost £400 for 2 new rear tyres for my car  i went on  after a friend recommended them  i got my 2 tyres and got them fitted at an independent garage  saved almost £130 in the process  very very happy  next day delivery and came in perfect condition  5 stars
9487,"[0, 4]",a good value service  however  my the service quality was not good  the original issue was my own error in that i ordered a wrong tyre size  however  the rectification process was very drawn out with several issue which was a shame as the get it right first time service is good 
9488,"[6, 9]",after initial problem the customer service was amazing  they could not do enough to get my tyres fitted at my convenience  next time any of the family need tyre  will be my first call
9489,"[7, 8]",superb experience  would 100% recommend  as a young woman ordered tyres online  arrange to be delivered to designated garage then just dropped in and had fitted  all within a few clicks  and very reasonable priced 
9490,[4],what can i say    i'm a typical girl  the only thing that usually concerns me about my car is the 'pretty' colour     😏    so  when it comes to getting new tyres for my hyundai tucson  i was clueless  anyway  i popped onto  website and i can honestly say it was one of the best experiences ever    i literally put in my number plate and up popped a bunch of tyres at various prices from budget to high end  the price included delivery to a local garage  vat and fitting and took me about 5 minutes from start to finish  i paid online and then got two emails  one confirming payment and the other to arrange fitting  i did this online too from the link in the email which showed me several garages in my area    i went to my appointment 3 days later at 9am  and they were waiting for me with my two new tyres  fantastic service and attention from start to finish  i have recommended  to so many people since    and also the garage that fitted them  hiq in stocton road  guildford  first class service and you've got me as a customer for life now  thank you so much 
9491,[7],the process works in the way it is intended and you know for sure the tyres have been delivered before you get there  fast and efficient 
9492,"[3, 9]",good prices  tyres arrived on time at fitters who put them on at the time i chose  what's not to like 
9493,"[6, 10]",very efficient & quick service at a competative price  would definitely use them for future tyre replacements 
9494,[7],it was so easy to do and getting them fitted was no problem at all it was all sorted out for me great service
9495,"[2, 11]",great timely service  i found large range of tyres from various price range  selected the tyres with fitting  and everything was arranged on the day  no hassle  this is my preferred way changing tyres now 
9496,"[0, 8]",quick and easy - great value - would recommend to anyone 
9497,"[3, 8]",very good price and everything happened as planned 
9498,"[7, 11]",i found the tyre i wanted on   cheaper than anywhere else  easy to order & it was delivered to the garage of my choice  would definitely recommend 
9499,"[1, 9]",great prices  there was a delay with the tyre delivery but the customer service team contacted me straight away and rearranged to another suitable time with no trouble at all 
9500,[3],good tyres  good service
9501,"[6, 7]",excellent range  prices and service  first time i have used  and i am now converted  delivered to my local garage and installed within a one hour time slot all pre-paid online 
9502,"[8, 11]",cheapest service  quick  will buy in future again
9503,"[3, 9]",excellent price and fitted in allotted time
9504,"[4, 10]",mobile fitter was very quick and efficient
9505,"[3, 10]",good choice good price  easy to do
9506,[4],laws tyres in aberdeen went the extra mile to ensure i left 100% happy with the tyre fitting  wheel balance and steering geometry adjustments that i required 
9507,"[3, 4]",great price and very nice people at the fitting garage  i had 2 x rear tyres fitted on my 19” rims and it was all done in 40mins 
9508,[4],excellent price couldnt find cheaper  however ats left part of the old weights on my wheels so i have since discovered when i cleaned my car
9509,"[1, 10]",fast service  good price and great local service
9510,[4],first time i had considered buying on line  but with such good prices  clear pricing and local free fitting thought i would give it a try  glad i did  so impressed have just ordered another two tyres for the front
9511,[6],2nd request for this review - excellent price for set of 4 good years  paid for fitting etc so tyres were delivered to selected local tyre stockist where they were already waiting at my appointment time good service also at the tyre dealers  all in a very good deal and overall service  would definitely use again 
9512,[3],good prices & excellent service
9513,[0],great company to deal with
9514,[10],very straightforward  good price  garage was very courteous and prompt 
9515,"[1, 4]",excellent customer service  went the extra mile to resolve me selecting the wrong size tyre for my car 
9516,"[1, 7]",excellent service and very straight forward
9517,"[2, 6]",fantastic price  choose a local tyre fitter who were very good  i would definitely recommend
9518,"[7, 9]",very straight forward process  the selected date of fitting needed to be changed as the garage had no availability but it was dealt with very promptly and a new time was arranged 
9519,"[3, 11]",it was an easy and excellent service and i got to choose some very good tyres at a very good price from a massive range of tyres and with reviews 
9520,"[2, 5]",cheapest i could find  easy-to-use website with fitting bookable  quick service  excellent range of products to choose from 
9521,[0],good value for money  efficient and easy  tyres - sorted 
9522,[9],still not received my tyres due thursday last week  never received any of my call back requests and sat for ages on hold to just never get through
9523,[8],first time i've used   had a very positive experience  very competitive prices  local fitting garage  tyres fitted in a timely manner by friendly efficient staff 
9524,"[2, 4]",best prices   plenty of fitting centers  and easy to book  can’t be easieri have bought my last 3 sets of tyres through  for my mercedes gle
9525,"[7, 9]",ordering process was simple enough  competitive price  fitting however was not without problems  used formula 1  turned up at my allocated appointment time and they were too busy to fit me in  ended up leaving the vehicle with them and returning 4 hours later 
9526,"[1, 4]",always a great service hence i keep coming back
9527,"[1, 8]",great price  hassle free  will be using again
9528,"[1, 8]",competitive  easy & reliable service   highly recommended 
9529,[6],all a very good experience  i used a tyre fitter that i have used many times in the past for peace of mind  
9530,"[4, 7]",very easy process to purchase and fit new tyres for my suzuki jimny
9531,"[3, 4]",the good news was that the tyres were a great price  sadly ats in marlborough  who i rank very highly are currently very badly understaffed  three customers turned away while i was there  two engineers to run the workshop and reception  so tyre fitting took much longer than expected 
9532,[6],very good service will definitely use again 
9533,[1],a fast  easy and efficient service coupled with competitive pricing 
9534,[10],easy use and good service
9535,[4],very good   fast and polite   on time   also the tires were not old stock  they were 2018 made which is very good
9536,[6],3rd time i've used   and again excellent service 
9537,[8],everything went exactly as arranged  the staff were friendly and helpful and the tyres are great  thanks 
9538,"[3, 10]",excellent service good prices good tyres excellent fitting all good 
9539,"[6, 7]",great service so simple to order tyres and i was very pleased with the garage that fitted then would definitely recommend
9540,[9],excellent  tyre arrived but was fitted after some time  i did have an issue at ats as although i pre-booked and i arrived on time  the waiting time was too long well done 
9541,"[0, 8]",great value and reliable service  would recommend using  to everyone 
9542,"[5, 8]",best company to deal with for tyres  easy and quick  highly recommend
9543,"[4, 9]", charged me twice for my tyres  and took 1 week to pay it back 
9544,"[3, 6]",fantastic service would definitely use  again also midpoint for fitting my tyres they were great  
9545,"[6, 11]",this is the second time i’ve used  and both time i’ve been very pleased  couldn’t find the tyres cheaper online anywhere else 
9546,[8],would highly recommend
9547,"[1, 2]",great product and service is easy to access
9548,"[6, 7]",easy to order and good choice of tyres  got confirmation straight away and they where fitted on time no problem  would definitely recommend 
9549,"[2, 8]",really easy to use  with a great choice of tyres  also  i like the option to chose the garage of choice  would recommend and use again 
9550,"[4, 11]",i was able to save money on new tyres and found the support agent helpful  i'll be happy to use  again 
9551,"[2, 7]",easy ordering vast selection of tyres to suit all budgets  ability to pick and choose fitting centre and time all in all great service 
9552,[7],hello  easy to order and arrange fitting  garage chosen by for second time in bearsden  minded my last custom  young technician scott who fitted my tyres on both occasions very helpful and polite  will use again with no worries  francis
9553,[9],they swapped my delivery and payment address up so the fitters cancelled the job  then when spoke to  they got them to come out and be with me by 17:00-18:00  at 18:30 they hadn't arrived so phoned them direct  they said they were on another job  they'd come next morning at 09:00 at 09:45 they hadn't arrived so called direct again and they said they were only a few minutes away  they finally arrived at 10:30
9554,"[0, 5]",so easy  best value  so convient could not wish for more
9555,"[0, 4]",excellent and easy transaction  did have to return to garage for a balancing problem but nothing to do with  
9556,"[2, 3]",easy to use  wide choice  good price 
9557,"[2, 4]",such a simple site to navigate  great choice of manufacturers and very good pricing  even better the garage was only 1 mile from home  excellent service at mackenzie & haywards  as always  comfy sofa  practical classics magazine and a coffee machine         living the dream 😁
9558,[8],very good service  would highly recommend 
9559,[5],the best tyres at the best prices 
9560,[4],tyres ordered on friday  fitted on saturday early so i arrived at the fitters at 7 45 am and left at 9 15am with the tyres i had purchased at very competitive prices fitted perfectly and subsequentl running has confirmed balanced and inflated correctly  so very impressed and satisfied 
9561,[1],excellent service thanks
9562,"[4, 7]",tyres were delivered before the expected date  i had a mobile fitter come to my office to put the tyres on  all sorted quickly and for a reasonable price 
9563,"[8, 11]",great service from  but tyre fitting garage recommended expensive additional work that did not need doing  i confirmed this with an inspection from my regular qualified mechanic 
9564,[3],brilliant prices with good choice of places to fit them  good communication very pleased and will use again
9565,[1],great service and great price 👍👍
9566,[10],good price  and good service from the garage 
9567,"[3, 9]",very good service although there was a change of garages from the original choice
9568,"[3, 5]",good quality but let down by office efficiency 
9569,[8],the service was excellent and quick  any problems were explained overall they were very helpful and polite  i would use again 
9570,"[6, 7]",i’ve used  for years now and i’ve always had a fantastic experience  the order process is quick and simple; the tyres are very competitively priced ; and the garage fitting experience is straightforward  give it a go  i assure you you won’t be disappointed  a+++
9571,[7],ordered easily  great price  delivered to a local fitter & fitted when stated  fabulous 
9572,"[2, 7]",ordered tyres and booked appoinment for fitting on the easy to use website  tyres were fitted on my selected date with no issues whatsoever  thanks for an extremely simple to use site and great prices as well 
9573,"[3, 9]",great service at the fitting bay  pity  didn’t deliver the tyres when they said  2nd time this has happened 
9574,[1],excellent service from start to finish will definitely use again
9575,"[2, 6]",i have already used this website twice for our family cars  prices are competitive  there is a good variety of tyres of different prices  tyres fitting is very quick and efficient  i am always very satisfied with the overall service 
9576,"[1, 6]",very efficient   great service  many thanks 
9577,[9],arrived at 9 40 for a 10 appointment    tyres didn’t arrive until 10:30 then i wait and waited until gone 12  a few tyre fitters walking around eating  a couple busy
9578,"[8, 11]",no problems with  who supplied the tyre and cheaper than all other options; and an excellent service from the garage who fitted the tyre 
9579,[9],i used  because they offered me a saturday fitting slot  i could have booked with ats direct and saved £2 per tyre but couldn't book for the saturday  less than 24 hours  before my appointment i got an email off  to say it had been changed to wednesday which wasn't what i wanted  if it was i would have booked it direct & saved myself money  
9580,[0],good value for money 
9581,"[3, 9]",great tyres at a great price but having booked a slot at 09:30 staff said it would be an hour  when i returned the wrong tyres i had ordered had been put on  i got an apology but it made me late for a meeting and initially was nae to feel i was in the wrong
9582,[10],did exactly what it said on the tin 
9583,[11],tyres arrived and were fitted as expected  no problem  i don't usually buy tyres online as i get first class service and prices from an independent fitting company where i live  however in this instance the only people who had my particular need in stock were the online companies  michelin couldn't even quote a date for supply  are the online brigade bullying the manufacturers into cutting the independents out i wonder 
9584,[1],fab service 
9585,"[3, 9]",a very good experience  a very competitive price and decent choice of tyres  they have good communication also because my local garage couldn’t honour the initial time so an email came through with a contact number  i contacted it and within seconds  a lady took the call and liaised with the garage to sort it and agreed a new convenient time  wouldn’t hesitate to use again and recommend 
9586,[5],cheap and easy whats not to like
9587,[5],best price  best fitting service  what else could you ask for    
9588,[8],professional service throughout
9589,[11],owning a classic car tyres are sometimes not readily available  delivered quickly and at a reasonable price 
9590,[6],excellent service will definitely use again thanks
9591,[9],guys are amazing tyres sorted and delivered in a few days  the finance options are a saving grace when your a little short on cash  👍🏻👍🏻👍🏻
9592,[0],quick  easy and reliable 
9593,"[1, 5]",i have used  on a number of occasions and have not been disappointed  excellent service and competitive pricing 
9594,[4],had a problem with a tyre fitting shop     sorted it out   for that alone i would give them 5 stars   plus the excellent service and keen pricing  can i give them six  
9595,[6],i have used them many times  always good service  
9596,[7],fast and easy pain free process  pick your tires  order your tires  pick the place you want to put them on and done 
9597,[10],excellent selection  great prices  easy to organise
9598,[3],good helpful communication finding me a fitting garage on isle of man  good price including delivery and fitting  will definitely use again 
9599,[6],excellent service  will use again  highly recommend
9600,[11],great service and saved a lot on four new goodyear tyres will use again as so handy to be able to get fitted so local to me 
9601,[10],easy transaction  good price and efficient hook-up with a local garage for fitting  recommended 
9602,[9],given a date to get tyres changed which suited me  at a location that suited me and was rated well by others  tyres arrived on time from  and were fitted quickly and professionally by ats euromaster who in my opinion were also very good 
9603,"[0, 10]",quick easy and good value  local fitting next day perfect 
9604,"[9, 11]",i certainly got 2 decent tyres for a better price than our local garage could offer  i was slightly miffed that  the following day after i ordered the tyres   had a flash 10% on the same ones i'd bought  i was told they couldn't honour it in my case 
9605,"[2, 11]",easy to use and great selection of tyres  fitting available from various local traders and all priced well below the local dealer price
9606,[9],booked a week in advance  dropped car off on the day to be told by the garage the tyres hadn't arrived  i phoned  and after half an hour of back and forth calls i was told the tyres were out of stock  i ended up eventually getting a refund and then spent the rest of the day trying to find a garage that stocked the right size of tyres  so all in all i wouldn't say it was the easy way to buy tyres 
9607,[7],all worked perfectly 
9608,"[8, 9]",excellent service from all people contacted during the purchase and unfortunately the serious tyre fitting issue  this issue related to a supplier ats in dundee however it was dealt with by  staff
9609,[9],good website  great service on final fitted products but no reply in regards to email i sent to cs re  an out of stock michelin line
9610,"[4, 7]",received a recommendation from a work colleague so went home and found the website  looked at others but price and access to numerous garages decided it for me  easy to order tyres  easy to choose a garage near me and had two front tyres fitted  great service thanks
9611,"[6, 11]",great service with tyres fitted at a great price  would definitely buy my tyres from  again 
9612,"[7, 10]",competetive pricing quick delivery fitted on time good service from garage fitting tyres will use  again
9613,[1],superb service
9614,[10],simple and easy  very good price
9615,"[9, 11]",very straightforwardmail order offers considerable saving
9616,[6],second lot of tyres from  found them most efficient will have no trouble in recommending them to my friends
9617,"[2, 5, 6]",excellent experience and i will definitely use again the site was easy to use and painless from start to finish
9618,"[0, 7]",great value tires  fitted and ready to go within about 25 mins  great service 
9619,"[2, 4]",had a bit of trouble with the web site but computers aren't my thing 
9620,[2],easy to use website that gave me the best offer  local garage gave me excellent service 
9621,"[2, 3]",easy to use  excellent prices and fitting service was brilliant 
9622,"[2, 8]",even if you don’t know what you want the website is easy to use for choosing tyres and booking appointments  the partner garage was friendly  prompt and professional  would recommend to anyone - and do 
9623,"[4, 7]",easy to order  number of garages to have them fitted  and the one used was very quick and satisfactory 
9624,[1],competitive price
9625,"[4, 6]",needed to change 3 run flats   were 15% cheaper than the dealer quote and compared to some other companies online  easy to browse and order  size specifications are accurate when you choose make and model  hassle free installation when you pick one of their premier partners  couldn’t be easier   will definitely use again and recommend to friends and family  but discounts given only when you order 4 tyres   
9626,"[3, 11]",exactly as ordered  swift delivery to tyre fitters and most importantly no hassle 
9627,[1],great service  easy to use 
9628,[1],efficient and great service
9629,"[1, 3]",excellent product  service and price 👍
9630,"[6, 8]",i have always received good service from merityre  abingdon in the past  this time was the same with the added bonus of  prices  highly recommended 
9631,"[1, 11]",easy to search the tires i needed great customer service wouldn‚äôt bother going anywhere else
9632,[10],very good and cheap
9633,[4],sent the wrong tyres  the garage fitted them and i had tonspent an hour on hold trying to get it resolve
9634,[4],fast delivery  however 2 incorrect tyres sent and fitted to the vehicle  should have been all v rated but sent 2 v and 2 h  the garage didn’t check and fitted them  this could have voided my insurance if i’d had an accident 
9635,"[1, 2]",great prices  super efficient service at the selected fitting venue
9636,[4],booked in for two tyres on my van turned up early and made very welcome left about 20mins later happy days why go anywhere else great job guys see you again
9637,[9],the original promise of two day delivery turned into four  but after that all went smoothly  fitting at ats very good  however getting vredestien tyres for my other car were found available for £93 50 instead of £122 at   so maybe a bit pricey 
9638,"[0, 1]",very good quick and reliable service
9639,"[1, 8]",cheap  fast and very friendly staff  what more can you want  i used the at home service  excellent 
9640,[4],left the car to be done and got a call an hour later  great job and no hassle 
9641,[5],excelent service  cheapest you can find 
9642,[8],all went to plan
9643,"[6, 7]",used these twice now  there was a problem with my first order which they rectified straight away  great service 
9644,"[7, 9]",completing my order online was simple and easy  however a couple of hours after selecting my local garage and paying for my tyre i received an email saying that the garage i had chosen couldn't to the tyre on that day not even later on that week  i had to call and reschedule which put hassle back into something that was supposed to be hassle free  the different fitting garage were fantastic i would select them again 
9645,"[2, 9]",such a selection of tyres from economy to top rated tyres  easy transaction and choice of local garages to use which you can book in there and then  all you need to do is turn up to your chosen garage and they have the tyres ready for you  no having to order or return another day 
9646,"[2, 5]",a simple foolproof process from start to finish a large selection of suitable tyres at good prices 
9647,[9],we used ats to replace our tyres  service was awful and when we arrived for an 8am appointment we were told they didn't open till 8 30  wont use again
9648,"[2, 6]",an excellent and convenient service  very easy to access and a very good range of tyres for all budgets  i would certainly use this service again 
9649,"[3, 8]",excellent price on quality tyres  chosen tyre fitter  also offered polite and efficient service  nothing to fault 
9650,"[3, 6]",having bought a tyre for the first time from  com l can recommend them  top quality tyre at a competitive price and the fitting process was hassle free 
9651,"[6, 7]",easy to order and get it done will definitely recommend them
9652,"[10, 11]",easy to use great price and fitted at my local garage
9653,[4],the fitter was polite and quickly completed the task at hand 
9654,[7],easy to order  great service from our local fitter  will definitely use again 
9655,[11],great service easy to compare & choose tyres for my car  couldn't find cheaper anywhere else   took the option to get them fitted by mobile fitter  two tyres fitted & job done within 20 minutes  will definitely use again 
9656,"[1, 2]",user friendly website and great service 
9657,"[3, 6]",excellent service and quality of product is second to none
9658,[4],not a fault of  direct  but i think the tyre fitter damaged my alloy wheel  i have no way of proving it as i didnt take pictures beforehand  but i noticed it straight afterwards  disappointed 
9659,[0],great way to buy tyres  excellent
9660,[7],great price  easy ordering
9661,[7],very easy to order on the website and subsequent work being done  thank you
9662,"[0, 2]",easy and efficient way to buy tyres at a reasonable price
9663,[1],great service at d p motors
9664,[4],the service was perfect  the reason why i give only 4 stars that both of the tyres made in the last year 
9665,[6],we always use  for replacement tyres for our cars and the service is always first class 
9666,[3],excellent tyre at an excellent price excellent service from kipling auto centres as well
9667,[9],tyres arrived as promised
9668,[4],fitters didn't know much about awd cars and tyre recommendations   which i thought was disappointing   gone back twice to have balancing redone   still not perfect  
9669,"[3, 6]",first time i have used the service   have to say can't fault it   tyres were very good value and fitting service at chosen garage excellent   would recommend anyone to try  
9670,[3],great tyres at a great price  the fitting centre picked up and fixed a puncture in another tyre  great service 
9671,"[4, 11]",as usual i went for the better quality of tyres  this company offered the best price  less than 23 hours after having the tyres fitted   one of them let me down  it turned out that there had been a problem when the tyre was fitted  as i was 80 miles from home i had to go to another tyre supplier who sorted me out  once home i contacted  who immediately  no questions asked issued me a refund to pay for the 2nd tyre i had fitted mistakes happen  the proof of a really good company is how they react when things go wrong  in this case the response was first class and ensures that i will be using them for my future tyre supplies 
9672,"[1, 3]",great service  fast  superb tyres at a competitive price  recent dot
9673,[11],bought the tyres i wanted online  went to local garage i'd have used anyhow  tyres fitted quickly  job done  brilliant 
9674,[11],excellent service  got exactly what i wanted for a very competitive price  the garage that did my fitting were also very friendly and polite  shame they couldn’t fill my new tires with nitrogen  but other than that i was thrilled with every aspect of my buying experience 
9675,[1],recomend  excellent service
9676,"[0, 10]",simple efficient and inexpensive - what more can i say 
9677,[3],a1 v good excellent
9678,[9],there was a mix up with the delivery but it was sorted and the tyre was changed 
9679,[3],excellent service and quality
9680,[7],ordered online  picked a date with tyre fitting local to metyres fitted job done
9681,"[4, 6]",needed front tyres for my car  wanted run flats  contacted  and got them at a most reasonable price  they were delivered to the garage i had requested and a time for fitting them was sent to me  this is the first time i have used this company but it definitely won't be my last  great service 
9682,[5],simple and easy to use  no problems and great price
9683,[4],bought two rear run flat tyres for my bmw 5 series  will use  from now on  and have recommended to my freinds 
9684,[1],excellent service as usual 😁
9685,"[1, 7]",everything should be this easy    ordering  delivery  service  thank you 
9686,[7],tyres were priced competitive ordered and fitted within two days of purchase at a local tyre place of my choice really pleased with the prompt service
9687,[9],i had a issue with a delay of the fitting due a stock problem but i was notified in advance and the booking was rearranged for me  everything ran smooth after that and i cannot fault the customer service and communication  i was given a good will gesture also which was a nice touch to a already good price  i will definatley use  again as issues somtimes arise and they dealt with it well in my case  
9688,[10],really good  a really good  simple way of buying really good tyres  simple 
9689,"[2, 11]",easy transaction for buying tyres online at a good price with the convenience of using a locally approved garage giving a great service to get them fitted 
9690,"[7, 9]",this is an easy review for me simply excellent order your tyres they will tell you when they will arrive and they do  perfect
9691,"[3, 8]",good priced tyres fitted as planned  staff polite
9692,"[1, 6]",excellent service from start to finish  had an issue that was dealt with quickly and professionally  would definitely recommend 
9693,[11],great way to buy the right tyres to suit your budget and preferences  reviews and tyre descriptions make it easy to choose  delighted with my new tyres   fitting partner was excellent and whole buying process so much better than the bad old days of turning up at a grubby tyre centre and hoping all will be ok i recommend this company without reservation 
9694,[1],quick  reliable and friendly
9695,"[2, 3]",excellent price for great quality tyres  easy to use website 
9696,[3],great price  excellent service
9697,"[4, 11]",the overall buying experience was good  although the original tyres i bought were not in stock  i was given the option of a better spec tyre at no extra cost  the customer service team were helpful and apologetic  i would use  again 
9698,[10],work was done to a very good standard and the service was very good 
9699,[1],fantastic service from start to finish 
9700,[9],tyres were delivered promptly and on time to local fitter  even though i'd made an error on the speed rating on the initial order which i didn't spot until i received the confirmation  the team at  were contactable quickly via email and on the telephone to help me resolve the issue and deliver the correct tyres on the scheduled day  excellent service overall 
9701,[11],totally happy with my purchase
9702,[8],ordering online was fast and simple  i chose the fit at home service for an extra £6 and it was worth every penny  the fitting was quick and efficient and the fitter polite and helpful  i can thoroughly recommend this service 
9703,"[0, 11]",best and easiest way to buy tyres for your car and at the right price  
